,2-grams,2-grams freq,3-grams,3-grams freq,4-grams,4-grams freq
0,"('News', 'News')",9689,"('ቀን', '2015', 'ኣም')",373,"('አአ', 'ላላችሁትም', 'በእራሳችን', 'transport')",279
1,"('ምክር', 'ቤት')",1231,"('የአዲስ', 'አበባ', 'ከተማ')",339,"('ላላችሁትም', 'በእራሳችን', 'transport', 'ያሉበት')",279
2,"('በቁጥጥር', 'ስር')",1052,"('ጠቅላይ', 'ሚኒስትር', 'አቢይ')",324,"('በእራሳችን', 'transport', 'ያሉበት', 'ድረስ')",279
3,"('የአዲስ', 'አበባ')",1009,"('ቀን', '2013', 'ኣም')",312,"('transport', 'ያሉበት', 'ድረስ', 'በ')",279
4,"('news', 'news')",950,"('የአዲስ', 'አበባ', 'ፖሊስ')",291,"('ያሉበት', 'ድረስ', 'በ', '30')",279
5,"('በአዲስ', 'አበባ')",933,"('ወደ', 'ክልል', 'ከተሞች')",282,"('ድረስ', 'በ', '30', 'ደቂቃ')",279
6,"('ፍርድ', 'ቤት')",860,"('በ', '30', 'ደቂቃ')",281,"('በ', '30', 'ደቂቃ', 'እናደርሳለን')",279
7,"('አዲስ', 'አበባ')",746,"('አአ', 'ላላችሁትም', 'በእራሳችን')",279,"('30', 'ደቂቃ', 'እናደርሳለን', 'ወደ')",279
8,"('ጠቅላይ', 'ሚኒስትር')",716,"('ላላችሁትም', 'በእራሳችን', 'transport')",279,"('ደቂቃ', 'እናደርሳለን', 'ወደ', 'ክልል')",279
9,"('አበባ', 'ከተማ')",706,"('በእራሳችን', 'transport', 'ያሉበት')",279,"('እናደርሳለን', 'ወደ', 'ክልል', 'ከተሞች')",279
10,"('ከተማ', 'አስተዳደር')",638,"('transport', 'ያሉበት', 'ድረስ')",279,"('ወደ', 'ክልል', 'ከተሞች', 'በፖስታ')",279
11,"('የውጭ', 'ጉዳይ')",610,"('ያሉበት', 'ድረስ', 'በ')",279,"('ክልል', 'ከተሞች', 'በፖስታ', 'ቤት')",279
12,"('በአማራ', 'ክልል')",602,"('ድረስ', 'በ', '30')",279,"('ከተሞች', 'በፖስታ', 'ቤት', 'እንልካለን')",279
13,"('በትግራይ', 'ክልል')",591,"('30', 'ደቂቃ', 'እናደርሳለን')",279,"('የብልት', 'መጠንን', 'በዘላቂ', 'ሁኔታ')",248
14,"('በዛሬው', 'እለት')",558,"('ደቂቃ', 'እናደርሳለን', 'ወደ')",279,"('መጠንን', 'በዘላቂ', 'ሁኔታ', 'ለመጨመር')",248
15,"('የአማራ', 'ክልል')",552,"('እናደርሳለን', 'ወደ', 'ክልል')",279,"('በዘላቂ', 'ሁኔታ', 'ለመጨመር', 'በግንኙነት')",248
16,"('ሙሉ', 'በሙሉ')",509,"('ክልል', 'ከተሞች', 'በፖስታ')",279,"('ሁኔታ', 'ለመጨመር', 'በግንኙነት', 'ወቅት')",248
17,"('እኛ', 'ጋር')",502,"('ከተሞች', 'በፖስታ', 'ቤት')",279,"('ለመጨመር', 'በግንኙነት', 'ወቅት', 'ቶሎ')",248
18,"('ቀን', '2015')",502,"('በፖስታ', 'ቤት', 'እንልካለን')",279,"('የተሻለ', 'የወሲብ', 'ፍላጎት', 'አና')",248
19,"('ክፍለ', 'ከተማ')",470,"('አበባ', 'ከተማ', 'አስተዳደር')",278,"('የወሲብ', 'ፍላጎት', 'አና', 'ችሎታ')",248
20,"('ነገር', 'ግን')",444,"('እንዲሁም', 'የብልት', 'ቁመት')",278,"('ፍላጎት', 'አና', 'ችሎታ', 'የሚጨምር')",248
21,"('2015', 'ኣም')",444,"('ቀን', '2014', 'ኣም')",272,"('አና', 'ችሎታ', 'የሚጨምር', 'ብልት')",248
22,"('የስንፈተ', 'ወሲብ')",441,"('በአዲስ', 'አበባ', 'ከተማ')",270,"('ችሎታ', 'የሚጨምር', 'ብልት', 'ውጥር')",248
23,"('በኦሮሚያ', 'ክልል')",436,"('ተወካዮች', 'ምክር', 'ቤት')",267,"('የሚጨምር', 'ብልት', 'ውጥር', 'እና')",248
24,"('የ12ኛ', 'ክፍል')",424,"('ነው።', 'News', 'News')",251,"('ብልት', 'ውጥር', 'እና', 'ቀጥ')",248
25,"('ቀን', '2014')",408,"('የብልት', 'መጠንን', 'በዘላቂ')",248,"('ውጥር', 'እና', 'ቀጥ', 'ብሎ')",248
26,"('ለበለጠ', 'መረጃ')",406,"('መጠንን', 'በዘላቂ', 'ሁኔታ')",248,"('እና', 'ቀጥ', 'ብሎ', 'እንዲቆይ')",248
27,"('ቀን', '2013')",399,"('በዘላቂ', 'ሁኔታ', 'ለመጨመር')",248,"('የስንፈተ', 'ወሲብ', 'እንዲሁም', 'የብልት')",237
28,"('ምንም', 'አይነት')",398,"('ሁኔታ', 'ለመጨመር', 'በግንኙነት')",248,"('ወሲብ', 'እንዲሁም', 'የብልት', 'ቁመት')",237
29,"('ሚኒስትር', 'አቢይ')",395,"('ለመጨመር', 'በግንኙነት', 'ወቅት')",248,"('እንዲሁም', 'የብልት', 'ቁመት', 'ማነስን')",237
